"trial_num","choice1","choice2","state","pos1","pos2","money","rts1","rts2","stim1.ons.sl","stim1.ons.ms","choice1.ons.sl","choice1.ons.ms","stim2.ons.sl","stim2.ons.ms","choice2.ons.sl","choice2.ons.ms","rew.ons.sl","rew.ons.ms","id"
1,2,2,3,0,0,1,0.694300739440223,0.896827580785612,1411.8085173443,1411.79336731881,2146.342416998,2146.33166536503,3155.21349075809,3155.18758909777,4066.63079531491,4066.62346465513,5077.39171274006,5077.3658110816,"01135"
2,1,2,2,0,1,0,0.663139394728205,0.915710867422604,6592.9857330732,6592.97595886327,7272.22643327899,7272.2195913326,8275.08050284348,8275.05948829092,9211.45234510116,9211.44550315477,10218.674020784,10218.6525175199,"01135"
3,2,2,3,0,1,1,0.366078157830998,1.06382339400079,11735.5787627902,11735.5689885803,12117.8613440227,12117.8545020763,13124.2101826761,13124.1896568332,14201.4332902785,14201.4259596206,15203.9726302549,15203.9521044139,"01135"
4,1,1,2,0,1,1,0.570404125806817,0.883209172819988,16711.1178227365,16711.1085372362,17297.818738237,17297.8118962906,18300.778857993,18300.754911175,19196.9136951845,19196.9068532381,20203.7561314851,20203.7316959575,"01135"
5,1,2,3,1,0,1,0.340507844844979,1.3333213563219,21720.1184047908,21720.1091192905,22076.9601813313,22076.9533393849,23079.9300752971,23079.9056397695,24422.3016213961,24422.2947794478,25429.7950201388,25429.7705846112,"01135"
6,2,1,2,0,0,1,0.429399894062954,0.92716868608295,26946.2794710789,26946.2706742883,27391.9629596509,27391.9561177045,28394.8717647977,28394.8458631393,29342.5264673419,29342.5196253937,30345.1029493213,30345.0780250821,"01135"
7,2,1,2,1,0,0,0.356132409588099,1.37854017772952,31855.2551777661,31855.2454035562,32227.5543800443,32227.5475380979,33232.1213800609,33232.0969445333,34619.1972342897,34619.1894149221,35621.7927759793,35621.7683404516,"01135"
8,2,2,3,0,1,0,0.390920780817396,1.13241880569512,37131.4167083297,37131.4079115391,37538.6015352365,37538.5946932901,38541.4800403286,38541.4551160913,39682.6592304483,39682.6518997885,40690.7928400002,40690.7684044726,"01135"
9,1,1,2,1,0,0,0.452898563058625,0.916239652227887,42207.2709377035,42207.2611634936,42676.3045272697,42676.2976853214,43679.7206139583,43679.6961784307,44609.0911889896,44609.0843470413,45616.2600839324,45616.2356484048,"01135"
10,2,1,3,1,1,1,0.501045836957928,0.720813103223918,47132.7978043221,47132.7885188218,47650.1956552658,47650.1888133194,48655.3735434599,48655.3471530918,49389.3395614605,49389.3322308026,50392.1760374475,50392.1516019199,"01135"
11,2,1,3,1,0,0,0.673025031572251,0.502154232468456,51908.0261421055,51908.0173453148,52597.3499182146,52597.3430762682,53600.4331930261,53600.408268787,54112.906307837,54112.8994658887,55116.8941858597,55116.8697503321,"01135"
12,2,2,3,1,0,0,0.374770363532662,0.483180045670451,56633.3165705614,56633.3067963514,57024.2263589948,57024.2195170466,58027.328204805,58027.3037692793,58518.5556062181,58518.5487642717,59524.8604609221,59524.8355366848,"01135"
13,1,2,2,0,1,1,0.311863053839261,0.67811250831619,61041.2031858061,61041.1934115961,61369.5115973465,61369.5023118444,62372.7307336871,62372.7058094498,63071.4978636019,63071.490532944,64074.3059943784,64074.2820475604,"01135"
14,1,2,2,0,1,1,0.42002398231125,0.64564355732,65582.819576377,65582.8088247459,66019.0191481691,66019.0118175112,67022.1356552951,67022.1107310578,67680.6506301202,67680.6437881719,68683.5252255276,68683.50079,"01135"
15,1,2,3,1,0,0,0.468082799603508,1.39175452100244,70191.1283397879,70191.118565578,70675.3916159756,70675.3842853177,71680.5665719062,71680.5416476689,73085.1583006755,73085.1514587291,74088.0763913225,74088.0524445046,"01135"
16,1,2,2,1,1,1,0.414489824132033,1.22502163405625,75600.9004003052,75600.8906260915,76031.5619042329,76031.5550622847,77040.2477566972,77040.2233211696,78278.1109969169,78278.1041549705,79281.0955521986,79281.0706279594,"01135"
17,1,2,2,1,0,0,0.490338188979877,1.05085985816186,80793.5281040333,80793.5193072446,81300.1230084449,81300.1161664966,82303.3934593908,82303.3680464439,83363.471623756,83363.4647818096,84369.8776415419,84369.8532060143,"01135"
