"trial_num","choice1","choice2","state","pos1","pos2","rts1","rts2","money","stim1.ons.sl","stim1.ons.ms","stim2.ons.sl","stim2.ons.ms","choice1.ons.sl","choice1.ons.ms","choice2.ons.sl","choice2.ons.ms","rew.ons.sl","rew.ons.ms","id"
1,0,0,0,0,1,0,0,0,12.0094412565231,11.9922411292791,0,0,0,0,0,0,0,0,"00829"
2,1,2,3,0,0,0.89717299984477,1.28441459676833,0,9523.15955047309,9523.14837518334,13531.9622808844,13531.9541208297,10436.7563840449,10436.7411339134,14837.7154617161,14837.6992315799,17539.4216253608,17539.4103152752,"00829"
3,2,2,3,0,1,0.864364773209672,0.964870066236472,0,19051.7994995862,19051.7891943008,23053.4412375242,23053.4316274375,19931.63523826,19931.6283082068,24027.4550996274,24027.4482647777,27054.7603932768,27054.7511779964,"00829"
4,2,1,2,1,1,0.704326281877002,1.06084058982378,1,28563.6293190271,28563.6199189574,32565.2805522382,32565.2701073438,29283.4509427994,29283.4439427406,33635.3308278471,33635.3235977739,36566.6932035238,36566.6839086562,"00829"
5,2,2,3,0,1,0.720281081172288,0.67701945862791,0,38075.467123732,38075.4578288496,42077.0419463366,42077.0301162302,38811.2506351918,38811.2433151305,42763.294501543,42763.2867714763,46078.5114080906,46078.5009279996,"00829"
6,1,2,2,1,0,0.384243551219697,1.9560079005314,1,47587.355294019,47587.3457539529,51600.2582772523,51600.2476319671,47987.065656513,47987.0582916588,53570.8965471685,53570.8890071064,55602.7094968706,55602.6993315816,"00829"
7,2,1,2,0,0,0.864109225338325,1.22025940455205,0,57118.2381958961,57118.2285058051,61119.801733613,61119.7913583219,57995.5005591959,57995.493083939,62346.938855499,62346.9311754405,65124.5343662649,65124.525246188,"00829"
8,2,1,3,1,1,0.631778366689105,1.99626587740204,1,66627.8899883181,66627.881028235,70629.4333954453,70629.4222105742,67274.9980899692,67274.9913199097,72634.8075784594,72634.8006183952,74630.7819462419,74630.7733313739,"00829"
9,1,1,2,0,0,0.655505036513205,1.09975050047797,0,76139.5560416281,76139.5456615537,80141.1207689643,80141.1099440604,76810.5901299119,76810.5827546418,81250.4085684568,81250.4004783928,84142.4771649987,84142.4685397446,"00829"
10,1,2,3,0,1,0.615514611388789,0.820168333812035,0,85651.3998263925,85651.3895111084,89652.9534388185,89652.9425487369,86282.452929616,86282.4458295554,90482.3960391581,90482.3885790855,93660.1328962445,93660.1198861599,"00829"
